time_s,temp_C,pwm_pct,error
528,20.678,100.0,3.678
529,20.817,100.0,3.817
530,20.886,100.0,3.886
531,21.062,100.0,4.062
532,21.062,100.0,4.062
533,20.608,100.0,3.608
534,21.062,100.0,4.062
535,20.748,100.0,3.748
536,21.154,100.0,4.154
537,20.362,100.0,3.362
538,20.678,100.0,3.678
539,20.748,100.0,3.748
540,20.748,100.0,3.748
541,20.748,100.0,3.748
542,20.678,100.0,3.678
543,20.886,100.0,3.886
544,20.748,100.0,3.748
545,20.972,100.0,3.972
546,20.678,100.0,3.678
547,21.062,100.0,4.062
548,21.336,100.0,4.336
549,20.748,100.0,3.748
550,20.886,100.0,3.886
551,20.817,100.0,3.817
552,20.817,100.0,3.817
553,21.245,100.0,4.245
554,20.608,100.0,3.608
555,21.245,100.0,4.245
556,20.748,100.0,3.748
557,20.817,100.0,3.817
558,21.062,100.0,4.062
559,20.006,100.0,3.006
560,20.972,100.0,3.972
561,20.748,100.0,3.748
562,21.154,100.0,4.154
563,20.185,100.0,3.185
564,20.886,100.0,3.886
565,21.336,100.0,4.336
566,20.817,100.0,3.817
567,21.427,100.0,4.427
568,20.362,100.0,3.362
569,20.972,100.0,3.972
570,20.451,100.0,3.451
571,20.678,100.0,3.678
572,21.964,100.0,4.964
573,20.451,100.0,3.451
574,20.972,100.0,3.972
575,20.362,100.0,3.362
576,21.427,100.0,4.427
577,20.748,100.0,3.748
578,20.817,100.0,3.817
579,21.062,100.0,4.062
580,20.748,100.0,3.748
581,20.678,100.0,3.678
582,21.727,100.0,4.727
583,20.608,100.0,3.608
584,20.274,100.0,3.274
585,20.748,100.0,3.748
586,20.817,100.0,3.817
587,20.886,100.0,3.886
588,20.817,100.0,3.817
589,21.245,100.0,4.245
590,20.451,100.0,3.451
591,20.817,100.0,3.817
592,22.035,100.0,5.035
593,20.538,100.0,3.538
594,20.886,100.0,3.886
595,20.817,100.0,3.817
596,20.886,100.0,3.886
597,20.538,100.0,3.538
598,20.972,100.0,3.972
599,20.678,100.0,3.678
600,21.154,100.0,4.154
601,21.727,100.0,4.727
602,20.185,100.0,3.185
603,20.972,100.0,3.972
604,21.245,100.0,4.245
605,20.608,100.0,3.608
606,20.006,100.0,3.006
607,20.608,100.0,3.608
608,20.538,100.0,3.538
609,20.006,100.0,3.006
610,20.451,100.0,3.451
611,20.678,100.0,3.678
612,20.362,100.0,3.362
613,20.362,100.0,3.362
614,20.185,100.0,3.185
615,20.451,100.0,3.451
616,20.538,100.0,3.538
617,20.185,100.0,3.185
618,20.451,100.0,3.451
619,20.451,100.0,3.451
620,20.185,100.0,3.185
621,20.095,100.0,3.095
622,20.095,100.0,3.095
623,19.743,98.8,2.743
624,20.451,100.0,3.451
625,20.678,100.0,3.678
626,20.274,100.0,3.274
627,20.608,100.0,3.608
628,20.538,100.0,3.538
629,20.095,100.0,3.095
630,20.362,100.0,3.362
631,20.748,100.0,3.748
632,20.274,100.0,3.274
633,20.006,100.0,3.006
634,20.608,100.0,3.608
635,20.748,100.0,3.748
636,20.274,100.0,3.274
637,20.538,100.0,3.538
638,20.678,100.0,3.678
639,20.362,100.0,3.362
640,20.451,100.0,3.451
641,19.831,100.0,2.831
642,20.095,100.0,3.095
643,20.362,100.0,3.362
644,21.062,100.0,4.062
645,20.095,100.0,3.095
646,20.095,100.0,3.095
647,20.817,100.0,3.817
648,20.748,100.0,3.748
649,20.678,100.0,3.678
650,20.274,100.0,3.274
651,20.095,100.0,3.095
652,20.362,100.0,3.362
653,20.886,100.0,3.886
654,20.886,100.0,3.886
655,20.095,100.0,3.095
656,20.608,100.0,3.608
657,20.451,100.0,3.451
658,20.274,100.0,3.274
659,20.608,100.0,3.608
660,20.274,100.0,3.274
661,20.678,100.0,3.678
662,20.006,100.0,3.006
663,20.274,100.0,3.274
664,20.095,100.0,3.095
665,20.362,100.0,3.362
666,20.362,100.0,3.362
667,20.274,100.0,3.274
668,20.451,100.0,3.451
669,19.918,100.0,2.918
670,20.185,100.0,3.185
671,20.185,100.0,3.185
672,20.748,100.0,3.748
673,20.608,100.0,3.608
674,20.006,100.0,3.006
675,20.274,100.0,3.274
676,20.538,100.0,3.538
677,20.274,100.0,3.274
678,20.185,100.0,3.185
679,20.817,100.0,3.817
680,20.362,100.0,3.362
681,21.336,100.0,4.336
682,20.886,100.0,3.886
683,20.362,100.0,3.362
684,20.538,100.0,3.538
685,20.886,100.0,3.886
686,20.274,100.0,3.274
687,20.185,100.0,3.185
688,20.362,100.0,3.362
689,20.748,100.0,3.748
